emotion,feature_layer,feature_id,intervention_type,ablated_component,baseline_activation,ablated_activation,activation_change,activation_change_pct,baseline_emotion_logit,ablated_emotion_logit,logit_change,prompt
Joy,25,13068,single_ablation,L21.MLP,46.0946159362793,25.1126708984375,-20.981945037841797,-45.51929680214065,5.880749002099037,2.739743798971176,-3.141005203127861,Well good luck and have fun!
Joy,25,13068,single_ablation,L23.H0,46.0946159362793,42.01115036010742,-4.083465576171875,-8.858877535321726,5.880749002099037,5.702680349349976,-0.17806865274906158,Well good luck and have fun!
Joy,25,13068,single_ablation,L16.MLP,46.0946159362793,43.19693374633789,-2.8976821899414062,-6.2863788559321785,5.880749002099037,7.214766815304756,1.334017813205719,Well good luck and have fun!
Joy,25,13068,single_ablation,L24.Attn,46.0946159362793,37.84800338745117,-8.246612548828125,-17.890619937539242,5.880749002099037,5.883748650550842,0.0029996484518051147,Well good luck and have fun!
Joy,25,13068,single_ablation,L19.H5,46.0946159362793,39.80306625366211,-6.2915496826171875,-13.649207298558597,5.880749002099037,5.940475434064865,0.05972643196582794,Well good luck and have fun!
Joy,25,13068,combined_ablation,L21.MLP+L23.H0+L16.MLP,46.0946159362793,20.825225830078125,-25.269390106201172,-54.820697803694266,5.880749002099037,4.269911453127861,-1.6108375489711761,Well good luck and have fun!
Joy,25,13068,single_ablation,L21.MLP,0.0,0.0,0.0,0.0,7.041051924228668,5.068733096122742,-1.9723188281059265,Glad to see we are still around :).
Joy,25,13068,single_ablation,L23.H0,0.0,0.0,0.0,0.0,7.041051924228668,7.06465470790863,0.023602783679962158,Glad to see we are still around :).
Joy,25,13068,single_ablation,L16.MLP,0.0,0.0,0.0,0.0,7.041051924228668,8.548185929656029,1.5071340054273605,Glad to see we are still around :).
Joy,25,13068,single_ablation,L24.Attn,0.0,0.0,0.0,0.0,7.041051924228668,6.9461376667022705,-0.0949142575263977,Glad to see we are still around :).
Joy,25,13068,single_ablation,L19.H5,0.0,0.0,0.0,0.0,7.041051924228668,7.194524943828583,0.15347301959991455,Glad to see we are still around :).
Joy,25,13068,combined_ablation,L21.MLP+L23.H0+L16.MLP,0.0,0.0,0.0,0.0,7.041051924228668,6.5368043929338455,-0.5042475312948227,Glad to see we are still around :).
Joy,25,13068,single_ablation,L21.MLP,26.279399871826172,19.155017852783203,-7.124382019042969,-27.110139705590967,9.619415521621704,6.744699239730835,-2.874716281890869,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,single_ablation,L23.H0,26.279399871826172,22.00918197631836,-4.2702178955078125,-16.249297610809833,9.619415521621704,9.752567648887634,0.13315212726593018,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,single_ablation,L16.MLP,26.279399871826172,23.56503677368164,-2.7143630981445312,-10.328862574424948,9.619415521621704,11.059397220611572,1.4399816989898682,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,single_ablation,L24.Attn,26.279399871826172,21.918193817138672,-4.3612060546875,-16.595531389448116,9.619415521621704,8.680485606193542,-0.9389299154281616,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,single_ablation,L19.H5,26.279399871826172,21.29144287109375,-4.987957000732422,-18.980482906993437,9.619415521621704,9.276769161224365,-0.34264636039733887,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,combined_ablation,L21.MLP+L23.H0+L16.MLP,26.279399871826172,13.438698768615723,-12.84070110321045,-48.862231123385776,9.619415521621704,7.507194519042969,-2.1122210025787354,My blood pressure Edit: I'm just happy to be here.
Joy,25,13068,single_ablation,L21.MLP,45.2337532043457,29.700481414794922,-15.533271789550781,-34.340002076278004,6.69876766204834,4.390228092670441,-2.308539569377899,"My boyfriend is so much like your husband. I’m so happy for you to have him, he sounds wonderful."
Joy,25,13068,single_ablation,L23.H0,45.2337532043457,35.83607864379883,-9.397674560546875,-20.775801022065135,6.69876766204834,6.688207626342773,-0.010560035705566406,"My boyfriend is so much like your husband. I’m so happy for you to have him, he sounds wonderful."
Joy,25,13068,single_ablation,L16.MLP,45.2337532043457,30.913135528564453,-14.32061767578125,-31.659140931965464,6.69876766204834,7.406434416770935,0.7076667547225952,"My boyfriend is so much like your husband. I’m so happy for you to have him, he sounds wonderful."
Joy,25,13068,single_ablation,L24.Attn,45.2337532043457,39.39183044433594,-5.841922760009766,-12.914963597246935,6.69876766204834,7.2167067527771,0.5179390907287598,"My boyfriend is so much like your husband. I’m so happy for you to have him, he sounds wonderful."
Joy,25,13068,single_ablation,L19.H5,45.2337532043457,33.28450393676758,-11.949249267578125,-26.41666547897718,6.69876766204834,6.350856065750122,-0.3479115962982178,"My boyfriend is so much like your husband. I’m so happy for you to have him, he sounds wonderful."
