emotion,layer,feature_id,prompt,alpha,log_prob,delta_log_prob,activation,delta_activation
Sadness,18,11186,"As a former [NAME], I apologize. That’s tough",-2,-33.104761177301405,-0.09328878521919393,7.868846893310547,-1.6935853958129883
Sadness,18,11186,"As a former [NAME], I apologize. That’s tough",-1,-33.057527107000354,-0.04605471491814228,8.715642929077148,-0.8467893600463867
Sadness,18,11186,"As a former [NAME], I apologize. That’s tough",0,-33.01147239208221,0.0,9.562432289123535,0.0
Sadness,18,11186,"As a former [NAME], I apologize. That’s tough",1,-32.966566735506056,0.044905656576155195,10.409223556518555,0.8467912673950195
Sadness,18,11186,"As a former [NAME], I apologize. That’s tough",2,-32.922801280021666,0.08867111206054545,11.25600814819336,1.6935758590698242
Sadness,18,11186,"As a former [NAME], I apologize. That’s tough",4,-32.838623601198194,0.17284879088401794,12.94959831237793,3.3871660232543945
Sadness,18,11186,This is beautiful and heartbreaking :(,-2,-23.200117929279806,-0.031199640035630694,32.12810516357422,-1.6935958862304688
Sadness,18,11186,This is beautiful and heartbreaking :(,-1,-23.18422651588917,-0.015308226644993539,32.97489929199219,-0.8468017578125
Sadness,18,11186,This is beautiful and heartbreaking :(,0,-23.168918289244175,0.0,33.82170104980469,0.0
Sadness,18,11186,This is beautiful and heartbreaking :(,1,-23.154156167805194,0.014762121438980813,34.66850662231445,0.8468055725097656
Sadness,18,11186,This is beautiful and heartbreaking :(,2,-23.139958842098714,0.028959447145460615,35.515281677246094,1.6935806274414062
Sadness,18,11186,This is beautiful and heartbreaking :(,4,-23.11318587064743,0.05573241859674383,37.2088508605957,3.3871498107910156
Sadness,18,11186,"Tried it. Failed it. Got mental consequences, my m...",-2,-28.375952434539794,-0.16638348102569367,0.0,0.0
Sadness,18,11186,"Tried it. Failed it. Got mental consequences, my m...",-1,-28.292269143462182,-0.08270018994808126,0.0,0.0
Sadness,18,11186,"Tried it. Failed it. Got mental consequences, my m...",0,-28.2095689535141,0.0,0.0,0.0
Sadness,18,11186,"Tried it. Failed it. Got mental consequences, my m...",1,-28.127865478396416,0.08170347511768483,0.0,0.0
Sadness,18,11186,"Tried it. Failed it. Got mental consequences, my m...",2,-28.047176346182823,0.16239260733127736,0.0,0.0
Sadness,18,11186,"Tried it. Failed it. Got mental consequences, my m...",4,-27.888899666070937,0.32066928744316314,0.0,0.0
Sadness,18,11186,"Oh no, [NAME] is in pain",-2,-29.476335629820824,-0.09313646256923747,0.0,0.0
Sadness,18,11186,"Oh no, [NAME] is in pain",-1,-29.429199808835982,-0.04600064158439565,0.0,0.0
Sadness,18,11186,"Oh no, [NAME] is in pain",0,-29.383199167251586,0.0,0.0,0.0
Sadness,18,11186,"Oh no, [NAME] is in pain",1,-29.33832525908947,0.044873908162117004,0.0,0.0
Sadness,18,11186,"Oh no, [NAME] is in pain",2,-29.294580805301667,0.08861836194991923,0.0,0.0
Sadness,18,11186,"Oh no, [NAME] is in pain",4,-29.210501292347907,0.1726978749036796,0.0,0.0
Sadness,18,11186,Being born in north america is a curse my friend. ...,-2,-24.723688696324825,-0.194396510720253,0.0,0.0
Sadness,18,11186,Being born in north america is a curse my friend. ...,-1,-24.62570801228285,-0.0964158266782782,0.0,0.0
Sadness,18,11186,Being born in north america is a curse my friend. ...,0,-24.52929218560457,0.0,0.0,0.0
Sadness,18,11186,Being born in north america is a curse my friend. ...,1,-24.43442591279745,0.09486627280712057,0.0,0.0
Sadness,18,11186,Being born in north america is a curse my friend. ...,2,-24.34118338227272,0.18810880333185054,0.0,0.0
Sadness,18,11186,Being born in north america is a curse my friend. ...,4,-24.159519892930984,0.3697722926735878,6.47749137878418,6.47749137878418
Sadness,18,11186,I feel bad for my kids who will never get to see [...,-2,-17.694549986347557,-0.1539892479777336,13.169679641723633,-1.6935787200927734
Sadness,18,11186,I feel bad for my kids who will never get to see [...,-1,-17.61682691536844,-0.07626617699861526,14.016460418701172,-0.8467979431152344
Sadness,18,11186,I feel bad for my kids who will never get to see [...,0,-17.540560738369823,0.0,14.863258361816406,0.0
Sadness,18,11186,I feel bad for my kids who will never get to see [...,1,-17.465707644075156,0.07485309429466724,15.710054397583008,0.8467960357666016
